symbol,price,date,time,timestamp
ACL.N0000,99.0,2026-02-15,16:08:42,2026-02-15 16:08:42
ATL.N0000,24.2,2026-02-15,16:08:42,2026-02-15 16:08:42
YORK.N0000,16.1,2026-02-15,16:08:42,2026-02-15 16:08:42
WIND.N0000,48.1,2026-02-15,16:08:42,2026-02-15 16:08:42
WATA.N0000,46.0,2026-02-15,16:08:42,2026-02-15 16:08:42
WAPO.N0000,120.0,2026-02-15,16:08:42,2026-02-15 16:08:42
VPEL.N0000,16.9,2026-02-15,16:08:42,2026-02-15 16:08:42
VONE.N0000,107.5,2026-02-15,16:08:42,2026-02-15 16:08:42
VLL.X0000,18.2,2026-02-15,16:08:42,2026-02-15 16:08:42
VLL.N0000,22.2,2026-02-15,16:08:42,2026-02-15 16:08:42
VFIN.N0000,105.0,2026-02-15,16:08:42,2026-02-15 16:08:42
UML.N0000,37.9,2026-02-15,16:08:42,2026-02-15 16:08:42
UDPL.N0000,159.25,2026-02-15,16:08:42,2026-02-15 16:08:42
UCAR.N0000,1766.0,2026-02-15,16:08:42,2026-02-15 16:08:42
UBF.N0000,3.1,2026-02-15,16:08:42,2026-02-15 16:08:42
UBC.N0000,14.5,2026-02-15,16:08:42,2026-02-15 16:08:42
UAL.N0000,80.0,2026-02-15,16:08:42,2026-02-15 16:08:42
TYRE.N0000,88.1,2026-02-15,16:08:42,2026-02-15 16:08:42
TSML.N0000,46.0,2026-02-15,16:08:42,2026-02-15 16:08:42
TRAN.N0000,57.0,2026-02-15,16:08:42,2026-02-15 16:08:42
TPL.N0000,144.5,2026-02-15,16:08:42,2026-02-15 16:08:42
TKYO.X0000,86.7,2026-02-15,16:08:42,2026-02-15 16:08:42
TKYO.N0000,104.5,2026-02-15,16:08:42,2026-02-15 16:08:42
TJL.N0000,37.5,2026-02-15,16:08:42,2026-02-15 16:08:42
TILE.N0000,50.3,2026-02-15,16:08:42,2026-02-15 16:08:42
TESS.X0000,1.4,2026-02-15,16:08:42,2026-02-15 16:08:42
TESS.N0000,2.1,2026-02-15,16:08:42,2026-02-15 16:08:42
TAP.N0000,39.6,2026-02-15,16:08:42,2026-02-15 16:08:42
TANG.N0000,126.75,2026-02-15,16:08:42,2026-02-15 16:08:42
TAJ.N0000,37.8,2026-02-15,16:08:42,2026-02-15 16:08:42
TAFL.N0000,652.75,2026-02-15,16:08:42,2026-02-15 16:08:42
SWAD.N0000,15000.0,2026-02-15,16:08:42,2026-02-15 16:08:42
SUN.N0000,33.2,2026-02-15,16:08:42,2026-02-15 16:08:42
STAF.N0000,55.2,2026-02-15,16:08:42,2026-02-15 16:08:42
SPEN.N0000,162.0,2026-02-15,16:08:42,2026-02-15 16:08:42
SOY.N0000,2510.25,2026-02-15,16:08:42,2026-02-15 16:08:42
SMOT.N0000,1643.25,2026-02-15,16:08:42,2026-02-15 16:08:42
SLTL.N0000,98.3,2026-02-15,16:08:42,2026-02-15 16:08:42
SLND.N0000,1987.5,2026-02-15,16:08:42,2026-02-15 16:08:42
SIRA.N0000,36.4,2026-02-15,16:08:42,2026-02-15 16:08:42
SINS.N0000,87.7,2026-02-15,16:08:42,2026-02-15 16:08:42
SINH.N0000,22.0,2026-02-15,16:08:42,2026-02-15 16:08:42
SING.N0000,50.9,2026-02-15,16:08:42,2026-02-15 16:08:42
SIL.N0000,510.5,2026-02-15,16:08:42,2026-02-15 16:08:42
SIGV.N0000,14.0,2026-02-15,16:08:42,2026-02-15 16:08:42
SHOT.X0000,16.5,2026-02-15,16:08:42,2026-02-15 16:08:42
SHOT.N0000,21.9,2026-02-15,16:08:42,2026-02-15 16:08:42
SHL.N0000,7.3,2026-02-15,16:08:42,2026-02-15 16:08:42
SHAW.N0000,242.0,2026-02-15,16:08:42,2026-02-15 16:08:42
SFIN.N0000,56.3,2026-02-15,16:08:42,2026-02-15 16:08:42
SFCL.N0000,832.0,2026-02-15,16:08:42,2026-02-15 16:08:42
SEYB.X0000,75.9,2026-02-15,16:08:42,2026-02-15 16:08:42
SEYB.N0000,111.5,2026-02-15,16:08:42,2026-02-15 16:08:42
SERV.N0000,19.0,2026-02-15,16:08:42,2026-02-15 16:08:42
SEMB.X0000,0.3,2026-02-15,16:08:42,2026-02-15 16:08:42
SEMB.N0000,1.0,2026-02-15,16:08:42,2026-02-15 16:08:42
SDF.N0000,41.4,2026-02-15,16:08:42,2026-02-15 16:08:42
SDB.N0000,65.9,2026-02-15,16:08:42,2026-02-15 16:08:42
SCAP.N0000,7.6,2026-02-15,16:08:42,2026-02-15 16:08:42
SAMP.N0000,155.75,2026-02-15,16:08:42,2026-02-15 16:08:42
RWSL.N0000,22.3,2026-02-15,16:08:42,2026-02-15 16:08:42
RPBH.N0000,59.1,2026-02-15,16:08:42,2026-02-15 16:08:42
RIL.N0000,34.1,2026-02-15,16:08:42,2026-02-15 16:08:42
RICH.N0000,36.9,2026-02-15,16:08:42,2026-02-15 16:08:42
RHTL.N0000,28.6,2026-02-15,16:08:42,2026-02-15 16:08:42
RHL.X0000,41.0,2026-02-15,16:08:42,2026-02-15 16:08:42
RHL.N0000,55.0,2026-02-15,16:08:42,2026-02-15 16:08:42
RGEM.N0000,206.5,2026-02-15,16:08:42,2026-02-15 16:08:42
RFL.N0000,36.5,2026-02-15,16:08:42,2026-02-15 16:08:42
REXP.N0000,412.5,2026-02-15,16:08:42,2026-02-15 16:08:42
RENU.N0000,932.0,2026-02-15,16:08:42,2026-02-15 16:08:42
REEF.N0000,4.2,2026-02-15,16:08:42,2026-02-15 16:08:42
RCL.N0000,50.1,2026-02-15,16:08:42,2026-02-15 16:08:42
RCH.N0000,250.0,2026-02-15,16:08:42,2026-02-15 16:08:42
RAL.N0000,15.0,2026-02-15,16:08:42,2026-02-15 16:08:42
PMB.N0000,13.6,2026-02-15,16:08:42,2026-02-15 16:08:42
PLR.N0000,46.7,2026-02-15,16:08:42,2026-02-15 16:08:42
PLC.N0000,26.1,2026-02-15,16:08:42,2026-02-15 16:08:42
PKME.N0000,159.75,2026-02-15,16:08:42,2026-02-15 16:08:42
PINS.N0000,31.0,2026-02-15,16:08:42,2026-02-15 16:08:42
PHAR.N0000,159.75,2026-02-15,16:08:42,2026-02-15 16:08:42
PEG.N0000,43.0,2026-02-15,16:08:42,2026-02-15 16:08:42
PARQ.N0000,82.1,2026-02-15,16:08:42,2026-02-15 16:08:42
PARA.N0000,655.5,2026-02-15,16:08:42,2026-02-15 16:08:42
PAP.N0000,22.5,2026-02-15,16:08:42,2026-02-15 16:08:42
PALM.N0000,70.1,2026-02-15,16:08:42,2026-02-15 16:08:42
PACK.N0000,14.1,2026-02-15,16:08:42,2026-02-15 16:08:42
PABC.N0000,62.1,2026-02-15,16:08:42,2026-02-15 16:08:42
OSEA.N0000,45.8,2026-02-15,16:08:42,2026-02-15 16:08:42
ONAL.N0000,43.6,2026-02-15,16:08:42,2026-02-15 16:08:42
OFEQ.N0000,831.75,2026-02-15,16:08:42,2026-02-15 16:08:42
ODEL.N0000,12.7,2026-02-15,16:08:42,2026-02-15 16:08:42
NTB.X0000,444.75,2026-02-15,16:08:42,2026-02-15 16:08:42
NTB.N0000,337.75,2026-02-15,16:08:42,2026-02-15 16:08:42
NHL.N0000,13.5,2026-02-15,16:08:42,2026-02-15 16:08:42
NEH.N0000,6231.0,2026-02-15,16:08:42,2026-02-15 16:08:42
NDB.N0000,151.0,2026-02-15,16:08:42,2026-02-15 16:08:42
NAMU.N0000,895.0,2026-02-15,16:08:42,2026-02-15 16:08:42
MULL.N0000,2.4,2026-02-15,16:08:42,2026-02-15 16:08:42
MSL.N0000,369.75,2026-02-15,16:08:42,2026-02-15 16:08:42
MRH.N0000,18.2,2026-02-15,16:08:42,2026-02-15 16:08:42
MHDL.N0000,10.8,2026-02-15,16:08:42,2026-02-15 16:08:42
MGT.N0000,38.2,2026-02-15,16:08:42,2026-02-15 16:08:42
MFPE.N0000,13.8,2026-02-15,16:08:42,2026-02-15 16:08:42
MERC.N0000,33.3,2026-02-15,16:08:42,2026-02-15 16:08:42
MELS.N0000,180.0,2026-02-15,16:08:42,2026-02-15 16:08:42
MEL.N0000,7.2,2026-02-15,16:08:42,2026-02-15 16:08:42
