symbol,rank,dimension7_v2_score,component1_trading_activity,component2_volatility_adj,component3_market_recognition,trade_volume_score,share_volume_score,trade_density_class,volatility_level,phase,metrics_available,scoring_date
CFI.N0000,262,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
KGAL.N0000,263,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
SHOT.N0000,264,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
AMSL.N0000,265,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
JKL.N0000,266,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
PEG.N0000,267,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
SLND.N0000,268,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
COMD.N0000,269,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
CTHR.N0000,270,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
MAL.N0000,271,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
MASK.N0000,272,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
UCAR.N0000,273,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
MADU.N0000,274,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
LHL.N0000,275,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
BREW.N0000,276,35.3,12.0,55.0,50.0,12.0,12.0,retail,low,1A,4,2026-02-13
TAJ.N0000,277,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
HUNT.N0000,278,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
CIT.N0000,279,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
BBH.N0000,280,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
CTEA.N0000,281,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
CARG.N0000,282,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
RPBH.N0000,283,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
LPRT.N0000,284,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
CWL.N0000,285,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
REXP.N0000,286,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
AFSL.N0000,287,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
AINS.N0000,288,34.8,12.0,50.0,50.0,12.0,12.0,retail,moderate,1A,4,2026-02-13
OFEQ.N0000,289,34.3,12.0,45.0,50.0,12.0,12.0,retail,high,1A,4,2026-02-13
CPRT.N0000,290,34.3,12.0,45.0,50.0,12.0,12.0,retail,high,1A,4,2026-02-13
CINS.N0000,291,33.8,12.0,40.0,50.0,12.0,12.0,retail,very_high,1A,4,2026-02-13
NEH.N0000,292,33.8,12.0,40.0,50.0,12.0,12.0,retail,very_high,1A,4,2026-02-13
