symbol,trade_date,close,trade_volume,share_volume,intraday_volatility,share_volume_5d,share_volume_20d,volume_ratio_5d_20d,trade_density,momentum_5d,momentum_20d,momentum_60d
CCS.N0000,2026-01-06,112.25,98,73540,1.55902004454343,104691.33333333333,104691.33333333333,1.0,750.4081632653061,0.0,0.0,0.0
SAMP.N0000,2026-01-06,151.25,863,1360854,2.1487603305785123,759164.6666666666,759164.6666666666,1.0,1576.8876013904983,0.0,0.0,0.0
AAIC.N0000,2026-01-06,74.4,240,247532,2.4193548387096735,162598.0,162598.0,1.0,1031.3833333333334,0.0,0.0,0.0
SERV.N0000,2026-01-06,21.1,98,581096,5.687203791469191,839821.3333333334,839821.3333333334,1.0,5929.551020408163,0.0,0.0,0.0
CALI.U0000,2026-01-06,14.4,1,10,0.0,769.3333333333334,769.3333333333334,1.0,10.0,0.0,0.0,0.0
WAPO.N0000,2026-01-06,105.75,215,191832,8.41607565011821,121047.33333333333,121047.33333333333,1.0,892.2418604651162,0.0,0.0,0.0
VLL.N0000,2026-01-06,25.0,316,923745,5.599999999999994,655883.3333333334,655883.3333333334,1.0,2923.243670886076,0.0,0.0,0.0
SEYB.N0000,2026-01-06,109.0,62,73365,1.834862385321101,34386.0,34386.0,1.0,1183.3064516129032,0.0,0.0,0.0
CALH.N0000,2026-01-06,18.2,225,2799666,1.6483516483516327,1579314.6666666667,1579314.6666666667,1.0,12442.96,0.0,0.0,0.0
UDPL.N0000,2026-01-06,161.5,31,6482,6.191950464396285,3097.0,3097.0,1.0,209.09677419354838,0.0,0.0,0.0
BPPL.N0000,2026-01-06,20.2,62,67326,1.9801980198019733,64795.333333333336,64795.333333333336,1.0,1085.9032258064517,0.0,0.0,0.0
BRWN.N0000,2026-01-06,165.75,83,28792,0.904977375565611,14270.666666666666,14270.666666666666,1.0,346.89156626506025,0.0,0.0,0.0
AHPL.N0000,2026-01-06,59.7,24,7443,5.025125628140703,35347.666666666664,35347.666666666664,1.0,310.125,0.0,0.0,0.0
AUTO.N0000,2026-01-06,215.5,23,982,8.816705336426914,716.3333333333334,716.3333333333334,1.0,42.69565217391305,0.0,0.0,0.0
STAF.N0000,2026-01-06,59.9,33,27072,2.003338898163611,39620.666666666664,39620.666666666664,1.0,820.3636363636364,0.0,0.0,0.0
TRAN.N0000,2026-01-06,61.4,2,42,0.0,516.6666666666666,516.6666666666666,1.0,21.0,0.0,0.0,0.0
AHUN.N0000,2026-01-06,121.25,64,142121,2.4742268041237114,113904.0,113904.0,1.0,2220.640625,0.0,0.0,0.0
RIL.N0000,2026-01-06,35.0,260,903677,4.571428571428576,2554981.3333333335,2554981.3333333335,1.0,3475.6807692307693,0.0,0.0,0.0
SUN.N0000,2026-01-06,35.4,254,524850,1.4124293785310735,615454.6666666666,615454.6666666666,1.0,2066.3385826771655,0.0,0.0,0.0
ATL.N0000,2026-01-06,25.8,67,149083,8.91472868217053,284770.6666666667,284770.6666666667,1.0,2225.1194029850744,0.0,0.0,0.0
TPL.N0000,2026-01-06,149.75,50,5576,1.335559265442404,5568.333333333333,5568.333333333333,1.0,111.52,0.0,0.0,0.0
SWAD.N0000,2026-01-06,15000.0,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
AINS.N0000,2026-01-06,35.5,5,671,4.225352112676056,2597.3333333333335,2597.3333333333335,1.0,134.2,0.0,0.0,0.0
ASPH.N0000,2026-01-06,0.4,67,4022845,24.999999999999993,1660886.6666666667,1660886.6666666667,1.0,60042.46268656717,0.0,0.0,0.0
TAFL.N0000,2026-01-06,707.75,499,253742,10.45566937477923,87832.33333333333,87832.33333333333,1.0,508.501002004008,0.0,0.0,0.0
ASIY.N0000,2026-01-06,11.3,929,6891514,19.46902654867256,2539228.6666666665,2539228.6666666665,1.0,7418.206673842842,0.0,0.0,0.0
SPEN.N0000,2026-01-06,159.0,53,35949,2.515723270440252,109688.0,109688.0,1.0,678.2830188679245,0.0,0.0,0.0
TKYO.X0000,2026-01-06,96.0,213,757508,1.8750000000000118,688838.6666666666,688838.6666666666,1.0,3556.37558685446,0.0,0.0,0.0
ALLI.N0000,2026-01-06,375.25,53,28311,2.8647568287808127,11100.0,11100.0,1.0,534.1698113207547,0.0,0.0,0.0
ASIR.N0000,2026-01-06,30.6,73,69644,4.901960784313726,70254.33333333333,70254.33333333333,1.0,954.027397260274,0.0,0.0,0.0
TANG.N0000,2026-01-06,129.25,2,42,0.0,1957.3333333333333,1957.3333333333333,1.0,21.0,0.0,0.0,0.0
TKYO.N0000,2026-01-06,114.25,147,497380,0.6564551422319475,708788.0,708788.0,1.0,3383.5374149659865,0.0,0.0,0.0
ASHO.N0000,2026-01-06,3984.5,39,391,3.262642740619902,595.0,595.0,1.0,10.025641025641026,0.0,0.0,0.0
TAP.N0000,2026-01-06,42.0,511,1229018,5.476190476190469,650208.6666666666,650208.6666666666,1.0,2405.123287671233,0.0,0.0,0.0
ALUM.N0000,2026-01-06,21.7,186,350238,3.2258064516129004,1668507.3333333333,1668507.3333333333,1.0,1883.0,0.0,0.0,0.0
ASCO.N0000,2026-01-06,47.1,259,818525,2.335456475583852,1275270.3333333333,1275270.3333333333,1.0,3160.3281853281856,0.0,0.0,0.0
TESS.N0000,2026-01-06,1.5,53,773783,6.666666666666672,446651.3333333333,446651.3333333333,1.0,14599.67924528302,0.0,0.0,0.0
TJL.N0000,2026-01-06,34.5,177,149906,0.5797101449275445,320011.6666666667,320011.6666666667,1.0,846.9265536723163,0.0,0.0,0.0
APLA.N0000,2026-01-06,190.0,379,61086,5.921052631578947,129334.0,129334.0,1.0,161.17678100263853,0.0,0.0,0.0
TESS.X0000,2026-01-06,1.2,10,25146,8.333333333333323,154145.0,154145.0,1.0,2514.6,0.0,0.0,0.0
AMF.N0000,2026-01-06,68.6,76,13901,4.810495626822154,20707.666666666668,20707.666666666668,1.0,182.9078947368421,0.0,0.0,0.0
AMSL.N0000,2026-01-06,13.8,22,3128,2.173913043478266,17103.333333333332,17103.333333333332,1.0,142.1818181818182,0.0,0.0,0.0
TAJ.N0000,2026-01-06,41.5,5,135,4.578313253012045,1309.3333333333333,1309.3333333333333,1.0,27.0,0.0,0.0,0.0
