rank,symbol,composite_score,quality_tier,recommendation,sector,interpretation,d1_profitability,d2_financial,d3_valuation,d4_growth,d5_management,d6_moat,d7_sentiment,profitability_contribution,financial_contribution,valuation_contribution,growth_contribution,management_contribution,moat_contribution,sentiment_contribution,watch_list,watch_list_warning
248,PEG.N0000,41.38,Weak,SELL/AVOID - Below-average quality,,Weak nan business - below-average quality with significant issues,10.0,88.5,50.0,9.57,50.0,30.0,44.85,2.0,17.7,7.5,1.44,7.5,3.0,2.24,False,
249,LUMX.N0000,41.28,Weak,SELL/AVOID - Below-average quality,,Weak nan business - below-average quality with significant issues,37.1,86.3,50.0,20.0,0.0,30.0,62.05,7.42,17.26,7.5,3.0,0.0,3.0,3.1,False,
250,REXP.N0000,41.18,Weak,SELL/AVOID - Below-average quality,,Weak nan business - below-average quality with significant issues,50.6,74.1,50.0,20.0,0.0,25.5,63.85,10.12,14.82,7.5,3.0,0.0,2.55,3.19,False,
251,EDEN.N0000,41.17,Weak,AVOID - Weak profitability and financial strength,,Weak nan business - below-average quality with significant issues,17.9,40.5,48.6,20.0,50.0,84.1,65.85,3.58,8.1,7.29,3.0,7.5,8.41,3.29,False,
252,CSF.N0000,41.14,Weak,AVOID - Weak profitability and financial strength,,Weak nan business - below-average quality with significant issues,22.0,37.2,50.0,100.0,0.0,53.0,30.0,4.4,7.44,7.5,15.0,0.0,5.3,1.5,True,NON-COMPLIANT WITH CSE LISTING RULES
253,ASCO.N0000,41.05,Weak,SELL/AVOID - Below-average quality,,Weak nan business - below-average quality with significant issues,51.1,44.7,47.0,0.0,47.0,47.5,60.7,10.22,8.94,7.05,0.0,7.05,4.75,3.04,False,
254,BIL.N0000,40.8,Weak,SELL/AVOID - Below-average quality,,Weak nan business - below-average quality with significant issues,22.8,63.1,53.7,25.0,39.0,30.0,59.2,4.56,12.62,8.05,3.75,5.85,3.0,2.96,False,
255,DIMO.N0000,40.22,Weak,AVOID - Weak profitability and financial strength,,Weak nan business - below-average quality with significant issues,22.9,34.4,48.6,46.25,40.0,54.3,62.05,4.58,6.88,7.29,6.94,6.0,5.43,3.1,False,
256,MDL.N0000,40.02,Weak,SELL/AVOID - Below-average quality,,Weak nan business - below-average quality with significant issues,36.5,81.7,50.0,20.0,0.0,30.0,57.5,7.3,16.34,7.5,3.0,0.0,3.0,2.88,False,
257,AHPL.N0000,39.94,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",15.2,63.1,36.0,10.230800000000002,50.0,62.0,72.85,3.04,12.62,5.4,1.53,7.5,6.2,3.64,False,
258,SHL.N0000,39.88,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",19.4,27.8,70.9,75.0158,0.0,67.9,35.35,3.88,5.56,10.63,11.25,0.0,6.79,1.77,True,NON-COMPLIANT WITH CSE LISTING RULES
259,JKH.N0000,39.64,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",7.6,54.5,36.0,37.44466666666668,50.0,49.900000000000006,74.35,1.52,10.9,5.4,5.62,7.5,4.99,3.72,False,
260,HEXP.N0000,39.61,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",35.4,59.7,40.5,24.305800000000005,37.5,19.0,66.85,7.08,11.94,6.08,3.65,5.62,1.9,3.34,False,
261,LWL.N0000,39.52,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",51.2,60.1,50.7,15.546000000000006,0.0,50.8,44.95,10.24,12.02,7.61,2.33,0.0,5.08,2.25,False,
262,PALM.N0000,39.36,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",17.3,41.1,36.0,20.0,50.0,84.1,67.45,3.46,8.22,5.4,3.0,7.5,8.41,3.37,False,
263,LCEY.N0000,39.26,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",23.5,38.9,51.7,26.3224,40.0,60.3,60.85,4.7,7.78,7.75,3.95,6.0,6.03,3.04,False,
264,CARE.N0000,39.0,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",43.6,62.7,47.0,14.429200000000002,19.0,30.0,53.45,8.72,12.54,7.05,2.16,2.85,3.0,2.67,False,
265,SWAD.N0000,38.66,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",29.1,77.9,50.0,25.0,0.0,30.0,60.1,5.82,15.58,7.5,3.75,0.0,3.0,3.01,False,
266,CTLD.N0000,38.24,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,84.0,48.6,6.134599999999999,40.0,29.6,45.3,2.0,16.8,7.29,0.92,6.0,2.96,2.27,False,
267,BBH.N0000,38.06,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",11.0,35.3,63.9,33.432,17.0,89.1,54.85,2.2,7.06,9.58,5.01,2.55,8.91,2.74,True,NON-COMPLIANT WITH CSE LISTING RULES
268,INME.N0000,37.65,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",2.5,43.7,50.0,100.0,0.0,29.0,60.25,0.5,8.74,7.5,15.0,0.0,2.9,3.01,False,
269,EML.N0000,37.52,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",0.0,47.8,50.0,100.0,0.0,26.0,57.2,0.0,9.56,7.5,15.0,0.0,2.6,2.86,False,
270,RGEM.N0000,37.38,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",24.7,61.8,49.3,10.9116,28.5,30.0,75.55,4.94,12.36,7.39,1.64,4.27,3.0,3.78,False,
271,BRWN.N0000,37.19,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,55.7,55.4,25.0,39.0,30.0,62.75,2.0,11.14,8.31,3.75,5.85,3.0,3.14,False,
272,MGT.N0000,37.04,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",31.2,58.7,62.4,0.0,22.0,30.000000000000007,67.95,6.24,11.74,9.36,0.0,3.3,3.0,3.4,False,
273,HBS.N0000,37.04,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",22.1,88.0,39.1,20.0,0.0,30.0,63.05,4.42,17.6,5.87,3.0,0.0,3.0,3.15,False,
274,BRR.N0000,36.69,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",0.0,73.5,40.5,2.926000000000002,50.0,55.6,48.35,0.0,14.7,6.08,0.44,7.5,5.56,2.42,False,
275,GHLL.N0000,36.53,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,62.5,50.0,25.0,40.0,24.6,46.35,2.0,12.5,7.5,3.75,6.0,2.46,2.32,False,
276,CITW.N0000,35.02,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",17.5,37.3,39.1,20.0,33.0,82.6,39.6,3.5,7.46,5.87,3.0,4.95,8.26,1.98,False,
277,HVA.N0000,34.91,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",16.0,29.1,47.0,84.1188,0.0,27.5,69.45,3.2,5.82,7.05,12.62,0.0,2.75,3.47,False,
278,MAL.X0000,34.79,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",27.0,84.9,27.6,0.0,27.0,0.6000000000000014,83.25,5.4,16.98,4.14,0.0,4.05,0.06,4.16,False,
279,OFEQ.N0000,34.71,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,86.1,50.0,20.0,0.0,30.0,39.8,2.0,17.22,7.5,3.0,0.0,3.0,1.99,False,
280,HAPU.N0000,34.5,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",13.0,53.6,55.9,37.9644,27.0,0.6000000000000014,59.85,2.6,10.72,8.38,5.69,4.05,0.06,2.99,False,
281,MRH.N0000,34.3,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,59.9,50.0,9.827600000000004,40.0,30.0,46.85,2.0,11.98,7.5,1.47,6.0,3.0,2.34,False,
282,PARA.N0000,34.08,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",12.0,77.7,50.0,20.0,0.0,30.0,52.75,2.4,15.54,7.5,3.0,0.0,3.0,2.64,False,
283,DOCK.N0000,33.89,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,39.1,50.0,17.540400000000005,40.0,29.4,100.0,2.0,7.82,7.5,2.63,6.0,2.94,5.0,True,NON-COMPLIANT WITH CSE LISTING RULES
284,MAL.N0000,33.58,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",27.0,84.9,27.6,0.0,27.0,0.6000000000000014,59.05,5.4,16.98,4.14,0.0,4.05,0.06,2.95,False,
285,SIL.N0000,33.33,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,47.7,47.0,20.0,28.5,30.0,89.35,2.0,9.54,7.05,3.0,4.27,3.0,4.47,False,
286,KPHL.N0000,33.24,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,75.4,50.0,20.0,0.0,30.0,53.25,2.0,15.08,7.5,3.0,0.0,3.0,2.66,False,
287,CPRT.N0000,33.11,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",0.0,46.0,50.0,10.5,52.5,30.0,79.25,0.0,9.2,7.5,1.57,7.88,3.0,3.96,False,
288,ACME.N0000,31.08,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",2.0,46.0,50.0,25.0,31.5,13.0,84.0,0.4,9.2,7.5,3.75,4.72,1.3,4.2,True,NON-COMPLIANT WITH CSE LISTING RULES
289,BLUE.N0000,30.77,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,60.5,50.0,25.0,0.0,30.0,48.45,2.0,12.1,7.5,3.75,0.0,3.0,2.42,True,NON-COMPLIANT WITH CSE LISTING RULES
290,DPL.N0000,29.27,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,59.5,50.0,20.0,0.0,30.0,37.45,2.0,11.9,7.5,3.0,0.0,3.0,1.87,False,
291,REEF.N0000,28.91,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,57.4,47.0,9.229200000000006,20.0,30.0,20.0,2.0,11.48,7.05,1.38,3.0,3.0,1.0,False,
292,MADU.N0000,27.93,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",0.0,27.1,44.4,53.6308,12.5,38.9,40.85,0.0,5.42,6.66,8.04,1.88,3.89,2.04,False,
293,LGL.N0000,27.28,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,18.2,47.0,20.0,35.0,29.4,68.05,2.0,3.64,7.05,3.0,5.25,2.94,3.4,False,
294,LGL.X0000,27.02,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",10.0,18.2,47.0,20.0,35.0,29.4,62.75,2.0,3.64,7.05,3.0,5.25,2.94,3.14,False,
295,TAJ.N0000,25.88,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",2.0,42.4,40.0,12.331600000000002,22.0,30.0,57.1,0.4,8.48,6.0,1.85,3.3,3.0,2.86,False,
296,HELA.N0000,25.64,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",2.0,47.5,50.0,25.0,0.0,28.099999999999994,33.7,0.4,9.5,7.5,3.75,0.0,2.81,1.69,True,NON-COMPLIANT WITH CSE LISTING RULES
297,ODEL.N0000,25.26,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",2.0,46.0,39.2,25.0,0.0,30.0,60.650000000000006,0.4,9.2,5.88,3.75,0.0,3.0,3.03,True,NON-COMPLIANT WITH CSE LISTING RULES
298,KAHA.N0000,21.57,Poor,STRONG SELL/AVOID - Poor quality across multiple dimensions,,"Poor nan business - avoid, multiple red flags across dimensions",2.0,30.9,50.3,35.0748,0.0,13.0,17.75,0.4,6.18,7.54,5.26,0.0,1.3,0.89,False,
