symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
ABAN.N0000,1232.75,1260.0,1270.0,1225.0,1296.75,-64.0,-4.94,997,38,2026-02-11,2026-02-11 16:00:16
AFSL.N0000,106.25,102.0,116.0,100.0,104.0,2.25,2.16,78450,292,2026-02-11,2026-02-11 16:00:16
AEL.N0000,70.9,71.5,71.6,70.8,71.4,-0.5,-0.7,518257,392,2026-02-11,2026-02-11 16:00:16
ACL.N0000,99.6,100.0,100.0,98.9,100.0,-0.4,-0.4,975895,521,2026-02-11,2026-02-11 16:00:16
APLA.N0000,170.5,170.0,176.0,160.5,168.0,2.5,1.49,35336,137,2026-02-11,2026-02-11 16:00:16
ACME.N0000,10.5,11.4,11.4,9.6,11.0,-0.5,-4.55,1898530,761,2026-02-11,2026-02-11 16:00:16
AGAL.N0000,58.5,59.9,60.0,58.2,59.1,-0.6,-1.02,56673,37,2026-02-11,2026-02-11 16:00:16
AGPL.N0000,18.5,18.5,18.5,18.3,18.3,0.2,1.09,12922,16,2026-02-11,2026-02-11 16:00:16
AGST.N0000,10.8,10.9,10.9,10.6,10.6,0.2,1.89,187812,38,2026-02-11,2026-02-11 16:00:16
AGST.X0000,12.2,12.2,12.2,11.8,12.2,0.0,0.0,12,2,2026-02-11,2026-02-11 16:00:16
AHUN.N0000,114.0,116.0,116.0,110.0,109.25,4.75,4.35,5541,40,2026-02-11,2026-02-11 16:00:16
SPEN.N0000,159.0,158.0,160.0,158.0,158.0,1.0,0.63,3611,22,2026-02-11,2026-02-11 16:00:16
ALLI.N0000,365.0,365.0,365.0,364.75,365.0,0.0,0.0,485,16,2026-02-11,2026-02-11 16:00:16
AFS.N0000,44.5,42.1,46.0,41.0,42.1,2.4,5.7,234676,135,2026-02-11,2026-02-11 16:00:16
ALUM.N0000,18.9,19.2,19.2,18.7,19.3,-0.4,-2.07,300668,200,2026-02-11,2026-02-11 16:00:16
ABL.N0000,29.9,29.9,30.0,29.8,29.9,0.0,0.0,527161,35,2026-02-11,2026-02-11 16:00:16
ATLL.N0000,35.1,36.0,36.0,35.0,35.1,0.0,0.0,6438,15,2026-02-11,2026-02-11 16:00:16
ATL.N0000,24.2,25.0,25.0,23.5,24.6,-0.4,-1.63,152139,106,2026-02-11,2026-02-11 16:00:16
TAP.N0000,40.2,40.0,40.2,39.8,40.0,0.2,0.5,312346,94,2026-02-11,2026-02-11 16:00:16
GREG.N0000,157.75,154.0,158.75,153.25,153.5,4.25,2.77,16063,22,2026-02-11,2026-02-11 16:00:16
AINS.N0000,35.6,35.6,35.6,35.6,36.5,-0.9,-2.47,303,7,2026-02-11,2026-02-11 16:00:16
AAF.N0000,56.5,57.0,57.0,56.0,56.3,0.2,0.36,23279,38,2026-02-11,2026-02-11 16:00:16
ASIY.N0000,12.5,12.9,12.9,12.3,12.8,-0.3,-2.34,448127,147,2026-02-11,2026-02-11 16:00:16
AHPL.N0000,57.0,58.0,58.9,56.6,56.6,0.4,0.71,49681,31,2026-02-11,2026-02-11 16:00:16
ASIR.N0000,33.5,33.6,33.9,33.0,33.6,-0.1,-0.3,28688,75,2026-02-11,2026-02-11 16:00:16
AMSL.N0000,15.7,15.7,16.5,14.1,15.4,0.3,1.95,671031,337,2026-02-11,2026-02-11 16:00:16
AMF.N0000,66.2,65.0,67.5,64.8,65.1,1.1,1.69,18080,23,2026-02-11,2026-02-11 16:00:16
BPPL.N0000,19.0,19.3,19.3,18.5,19.3,-0.3,-1.55,60657,83,2026-02-11,2026-02-11 16:00:16
BFL.N0000,84.1,85.1,85.1,81.0,85.1,-1.0,-1.18,163629,297,2026-02-11,2026-02-11 16:00:16
BALA.N0000,67.0,68.5,68.5,67.0,67.6,-0.6,-0.89,16888,21,2026-02-11,2026-02-11 16:00:16
