symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
ABAN.N0000,1296.75,1227.0,1299.75,1227.0,1259.75,37.0,2.94,765,26,2026-02-10,2026-02-10 16:00:18
AFSL.N0000,104.0,116.5,120.0,100.0,114.5,-10.5,-9.17,55401,252,2026-02-10,2026-02-10 16:00:18
AEL.N0000,71.4,73.0,73.0,71.0,72.0,-0.6,-0.83,213974,280,2026-02-10,2026-02-10 16:00:18
ACL.N0000,100.0,99.9,101.0,99.6,100.0,0.0,0.0,1485174,360,2026-02-10,2026-02-10 16:00:18
APLA.N0000,168.0,170.0,170.0,165.0,170.0,-2.0,-1.18,14703,166,2026-02-10,2026-02-10 16:00:18
ACME.N0000,11.0,12.1,12.3,10.8,11.9,-0.9,-7.56,1371755,752,2026-02-10,2026-02-10 16:00:18
AGAL.N0000,59.1,59.0,60.2,59.0,59.0,0.1,0.17,25503,18,2026-02-10,2026-02-10 16:00:18
AGPL.N0000,18.3,18.5,18.5,18.2,18.5,-0.2,-1.08,40509,48,2026-02-10,2026-02-10 16:00:18
AGST.N0000,10.6,11.0,11.1,10.5,10.8,-0.2,-1.85,214422,81,2026-02-10,2026-02-10 16:00:18
AGST.X0000,12.2,12.2,12.2,12.2,12.2,0.0,0.0,10,1,2026-02-10,2026-02-10 16:00:18
AHUN.N0000,109.25,114.0,114.0,106.75,114.0,-4.75,-4.17,65412,244,2026-02-10,2026-02-10 16:00:18
SPEN.N0000,158.0,162.0,162.0,158.0,159.75,-1.75,-1.1,8208,28,2026-02-10,2026-02-10 16:00:18
ALLI.N0000,365.0,375.0,375.0,365.0,371.25,-6.25,-1.68,2349,30,2026-02-10,2026-02-10 16:00:18
AFS.N0000,42.1,44.7,44.7,42.0,43.0,-0.9,-2.09,112717,65,2026-02-10,2026-02-10 16:00:18
ALUM.N0000,19.3,19.8,19.8,18.9,19.9,-0.6,-3.02,727821,443,2026-02-10,2026-02-10 16:00:18
ABL.N0000,29.9,30.0,30.0,29.8,30.0,-0.1,-0.33,28697,45,2026-02-10,2026-02-10 16:00:18
ATLL.N0000,35.1,37.0,37.0,35.0,36.0,-0.9,-2.5,7182,19,2026-02-10,2026-02-10 16:00:18
ATL.N0000,24.6,25.4,25.5,24.4,25.2,-0.6,-2.38,318630,149,2026-02-10,2026-02-10 16:00:18
TAP.N0000,40.0,40.5,40.6,40.0,40.3,-0.3,-0.74,82800,96,2026-02-10,2026-02-10 16:00:18
GREG.N0000,153.5,155.0,159.0,153.25,155.0,-1.5,-0.97,4153,20,2026-02-10,2026-02-10 16:00:18
AINS.N0000,36.5,37.8,37.8,37.8,36.5,0.0,0.0,30,1,2026-02-10,2026-02-10 16:00:18
AAF.N0000,56.3,57.9,57.9,56.2,57.6,-1.3,-2.26,17122,16,2026-02-10,2026-02-10 16:00:18
ASIY.N0000,12.8,13.2,13.4,12.7,13.0,-0.2,-1.54,830605,161,2026-02-10,2026-02-10 16:00:18
AHPL.N0000,56.6,57.2,59.0,56.5,58.6,-2.0,-3.41,80983,34,2026-02-10,2026-02-10 16:00:18
ASIR.N0000,33.6,34.8,34.8,33.4,34.5,-0.9,-2.61,65826,77,2026-02-10,2026-02-10 16:00:18
AMSL.N0000,15.4,16.4,16.4,15.3,16.1,-0.7,-4.35,74889,50,2026-02-10,2026-02-10 16:00:18
AMF.N0000,65.1,65.1,67.8,64.9,66.3,-1.2,-1.81,48505,59,2026-02-10,2026-02-10 16:00:18
BPPL.N0000,19.3,19.5,19.8,19.2,19.5,-0.2,-1.03,53676,35,2026-02-10,2026-02-10 16:00:18
BFL.N0000,85.1,86.6,86.6,84.9,86.6,-1.5,-1.73,132263,324,2026-02-10,2026-02-10 16:00:18
BALA.N0000,67.6,69.0,69.0,67.0,67.0,0.6,0.9,6949,24,2026-02-10,2026-02-10 16:00:18
BERU.N0000,3.6,3.7,3.8,3.6,3.7,-0.1,-2.7,722827,39,2026-02-10,2026-02-10 16:00:18
BOGA.N0000,149.5,155.0,155.0,148.5,151.75,-2.25,-1.48,65861,136,2026-02-10,2026-02-10 16:00:18
BOPL.N0000,74.6,74.2,74.7,74.2,74.6,0.0,0.0,2305,9,2026-02-10,2026-02-10 16:00:18
BRWN.N0000,186.75,195.0,195.0,184.25,190.5,-3.75,-1.97,37784,96,2026-02-10,2026-02-10 16:00:18
BIL.N0000,6.7,6.9,6.9,6.7,6.8,-0.1,-1.47,964792,196,2026-02-10,2026-02-10 16:00:18
BUKI.N0000,962.5,965.0,965.0,952.0,970.0,-7.5,-0.77,161,7,2026-02-10,2026-02-10 16:00:18
