symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
ABAN.N0000,1232.0,1227.0,1299.75,1227.0,1259.75,-27.75,-2.2,456,10,2026-02-10,2026-02-10 10:00:22
AFSL.N0000,111.25,116.5,120.0,100.0,114.5,-3.25,-2.84,21195,71,2026-02-10,2026-02-10 10:00:22
AEL.N0000,72.0,73.0,73.0,72.0,72.0,0.0,0.0,12585,32,2026-02-10,2026-02-10 10:00:22
ACL.N0000,100.0,99.9,100.0,99.6,100.0,0.0,0.0,155612,49,2026-02-10,2026-02-10 10:00:22
APLA.N0000,170.0,170.0,170.0,170.0,170.0,0.0,0.0,220,7,2026-02-10,2026-02-10 10:00:22
ACME.N0000,11.5,12.1,12.3,11.5,11.9,-0.4,-3.36,210673,156,2026-02-10,2026-02-10 10:00:22
AGAL.N0000,60.2,59.0,60.2,59.0,59.0,1.2,2.03,451,3,2026-02-10,2026-02-10 10:00:22
AGPL.N0000,18.4,18.5,18.5,18.4,18.5,-0.1,-0.54,5469,6,2026-02-10,2026-02-10 10:00:22
AGST.N0000,10.8,11.0,11.1,10.7,10.8,0.0,0.0,8620,15,2026-02-10,2026-02-10 10:00:22
AGST.X0000,12.2,12.2,12.2,12.2,12.2,0.0,0.0,10,1,2026-02-10,2026-02-10 10:00:22
AHUN.N0000,111.25,114.0,114.0,111.0,114.0,-2.75,-2.41,3650,40,2026-02-10,2026-02-10 10:00:22
SPEN.N0000,158.75,162.0,162.0,158.75,159.75,-1.0,-0.63,1310,6,2026-02-10,2026-02-10 10:00:22
AFS.N0000,43.0,44.7,44.7,43.0,43.0,0.0,0.0,8450,7,2026-02-10,2026-02-10 10:00:22
ALUM.N0000,19.2,19.8,19.8,19.0,19.9,-0.7,-3.52,343620,148,2026-02-10,2026-02-10 10:00:22
ABL.N0000,30.0,30.0,30.0,29.9,30.0,0.0,0.0,438,5,2026-02-10,2026-02-10 10:00:22
ATLL.N0000,37.0,37.0,37.0,37.0,36.0,1.0,2.78,103,2,2026-02-10,2026-02-10 10:00:22
ATL.N0000,25.1,25.4,25.5,25.0,25.2,-0.1,-0.4,52427,18,2026-02-10,2026-02-10 10:00:22
TAP.N0000,40.5,40.5,40.6,40.5,40.3,0.2,0.5,14460,11,2026-02-10,2026-02-10 10:00:22
GREG.N0000,155.0,155.0,155.0,155.0,155.0,0.0,0.0,413,3,2026-02-10,2026-02-10 10:00:22
AAF.N0000,57.6,57.9,57.9,57.6,57.6,0.0,0.0,10001,2,2026-02-10,2026-02-10 10:00:22
ASIY.N0000,12.9,13.2,13.4,12.8,13.0,-0.1,-0.77,52955,19,2026-02-10,2026-02-10 10:00:22
ASIR.N0000,34.5,34.8,34.8,34.3,34.5,0.0,0.0,39181,16,2026-02-10,2026-02-10 10:00:22
AMSL.N0000,15.8,16.4,16.4,15.8,16.1,-0.3,-1.86,14659,10,2026-02-10,2026-02-10 10:00:22
AMF.N0000,67.8,65.1,67.8,65.1,66.3,1.5,2.26,2,2,2026-02-10,2026-02-10 10:00:22
BPPL.N0000,19.3,19.5,19.8,19.3,19.5,-0.2,-1.03,38240,19,2026-02-10,2026-02-10 10:00:22
BFL.N0000,86.3,86.6,86.6,86.0,86.6,-0.3,-0.35,2760,23,2026-02-10,2026-02-10 10:00:22
BALA.N0000,68.9,69.0,69.0,68.9,67.0,1.9,2.84,1403,2,2026-02-10,2026-02-10 10:00:22
BERU.N0000,3.7,3.7,3.8,3.6,3.7,0.0,0.0,320500,11,2026-02-10,2026-02-10 10:00:22
BOGA.N0000,150.25,155.0,155.0,150.25,151.75,-1.5,-0.99,2575,9,2026-02-10,2026-02-10 10:00:22
BOPL.N0000,74.2,74.2,74.2,74.2,74.6,-0.4,-0.54,2000,2,2026-02-10,2026-02-10 10:00:22
BRWN.N0000,188.0,195.0,195.0,188.0,190.5,-2.5,-1.31,2878,13,2026-02-10,2026-02-10 10:00:22
BIL.N0000,6.9,6.9,6.9,6.9,6.8,0.1,1.47,23599,10,2026-02-10,2026-02-10 10:00:22
CIC.X0000,28.9,29.2,29.2,28.9,29.0,-0.1,-0.34,6904,17,2026-02-10,2026-02-10 10:00:22
CIC.N0000,36.0,35.6,36.0,35.6,35.8,0.2,0.56,12444,21,2026-02-10,2026-02-10 10:00:22
COLO.N0000,58.4,62.4,62.4,58.4,61.3,-2.9,-4.73,30501,9,2026-02-10,2026-02-10 10:00:22
