symbol,rank,dimension7_v2_score,c1_trading_activity,c2_volatility_adj,c3_market_recognition,c4_volume_trends,c5_momentum,trade_volume_score,share_volume_score,trade_density_class,volatility_level,volume_trend,volume_ratio,momentum_confluence,momentum_5d_pct,momentum_20d_pct,momentum_60d_pct,momentum_5d_score,momentum_20d_score,momentum_60d_score,phase,components_active,metrics_available,scoring_date
CFIN.N0000,47,74.8,78.5,55.0,50.0,95.0,95.0,95.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
PABC.N0000,48,74.8,82.0,45.0,50.0,95.0,95.0,82.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HNBF.N0000,49,74.8,78.5,55.0,50.0,95.0,95.0,62.0,95.0,institutional,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KPHL.N0000,50,74.8,82.0,45.0,50.0,95.0,95.0,82.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HBS.N0000,51,74.8,78.5,55.0,50.0,95.0,95.0,62.0,95.0,institutional,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AAIC.N0000,52,74.3,78.5,50.0,50.0,95.0,95.0,95.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
TESS.N0000,53,73.8,78.5,45.0,50.0,95.0,95.0,62.0,95.0,institutional,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CALT.N0000,54,73.3,72.0,60.0,50.0,95.0,95.0,82.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MGT.N0000,55,73.3,72.0,60.0,50.0,95.0,95.0,62.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CFVF.N0000,56,73.3,72.0,60.0,50.0,95.0,95.0,82.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DFCC.N0000,57,73.3,72.0,60.0,50.0,95.0,95.0,82.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LGL.N0000,58,73.3,72.0,60.0,50.0,95.0,95.0,62.0,82.0,mixed,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DIPD.N0000,59,73.3,72.0,60.0,50.0,95.0,95.0,82.0,62.0,retail,very_low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CALH.N0000,60,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CSLK.N0000,61,72.8,72.0,55.0,50.0,95.0,95.0,62.0,82.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LFIN.N0000,62,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DIST.N0000,63,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KCAB.N0000,64,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
RCL.N0000,65,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
DIAL.N0000,66,72.8,72.0,55.0,50.0,95.0,95.0,82.0,62.0,retail,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AGST.N0000,67,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KOTA.N0000,68,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LCBF.N0000,69,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HNB.X0000,70,72.3,72.0,50.0,50.0,95.0,95.0,82.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ASIY.N0000,71,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
COOP.N0000,72,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
FCT.N0000,73,72.3,72.0,50.0,50.0,95.0,95.0,82.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LOFC.N0000,74,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CLND.N0000,75,72.3,72.0,50.0,50.0,95.0,95.0,62.0,82.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HNBF.X0000,76,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LUMX.N0000,77,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
WATA.N0000,78,71.8,72.0,45.0,50.0,95.0,95.0,82.0,62.0,retail,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MDL.N0000,79,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HPWR.N0000,80,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
CTBL.N0000,81,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MEL.N0000,82,71.8,72.0,45.0,50.0,95.0,95.0,62.0,82.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ALUM.N0000,83,71.8,72.0,45.0,50.0,95.0,95.0,82.0,62.0,mixed,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
SIGV.N0000,84,71.8,72.0,45.0,50.0,95.0,95.0,82.0,62.0,retail,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
