symbol,rank,dimension7_v2_score,c1_trading_activity,c2_volatility_adj,c3_market_recognition,c4_volume_trends,c5_momentum,trade_volume_score,share_volume_score,trade_density_class,volatility_level,volume_trend,volume_ratio,momentum_confluence,momentum_5d_pct,momentum_20d_pct,momentum_60d_pct,momentum_5d_score,momentum_20d_score,momentum_60d_score,phase,components_active,metrics_available,scoring_date
SCAP.N0000,1,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,institutional,very_high,strong_accumulation,2.005,full_uptrend,18.75,52.0,38.18,95.0,95.0,95.0,1B-D,5,10,2026-02-16
CWL.N0000,2,78.2,95.0,40.0,50.0,95.0,95.0,95.0,95.0,mixed,very_high,strong_accumulation,2.021,full_uptrend,15.08,56.85,60.14,95.0,95.0,95.0,1B-D,5,10,2026-02-16
NHL.N0000,3,77.5,95.0,45.0,50.0,82.0,95.0,95.0,95.0,mixed,high,mild_accumulation,1.482,full_uptrend,7.14,27.36,26.17,95.0,95.0,95.0,1B-D,5,10,2026-02-16
VPEL.N0000,4,76.5,95.0,45.0,50.0,95.0,85.9,95.0,95.0,mixed,high,strong_accumulation,3.152,full_uptrend,12.67,9.74,6.96,95.0,82.0,82.0,1B-D,5,10,2026-02-16
EXT.N0000,5,75.5,95.0,45.0,50.0,62.0,95.0,95.0,95.0,mixed,high,mild_distribution,0.882,full_uptrend,10.16,83.12,76.25,95.0,95.0,95.0,1B-D,5,10,2026-02-16
EMER.N0000,6,75.0,95.0,40.0,50.0,62.0,95.0,95.0,95.0,mixed,very_high,neutral,1.044,full_uptrend,9.88,39.06,57.52,95.0,95.0,95.0,1B-D,5,10,2026-02-16
LMF.N0000,7,74.2,88.5,55.0,50.0,82.0,85.9,95.0,82.0,mixed,low,strong_accumulation,1.554,full_uptrend,10.09,22.45,20.86,95.0,82.0,82.0,1B-D,5,10,2026-02-16
JINS.N0000,8,72.6,95.0,40.0,50.0,95.0,72.4,95.0,95.0,retail,very_high,strong_accumulation,3.162,mostly_positive,8.2,10.82,-0.67,95.0,82.0,37.0,1B-D,5,10,2026-02-16
SHOT.X0000,9,72.5,88.5,40.0,50.0,95.0,79.9,82.0,95.0,mixed,very_high,strong_accumulation,3.168,mostly_positive,10.0,13.79,0.0,95.0,82.0,62.0,1B-D,5,10,2026-02-16
CRL.N0000,10,71.8,88.5,40.0,50.0,82.0,82.0,82.0,95.0,mixed,very_high,mild_accumulation,1.361,full_uptrend,5.08,14.81,16.98,82.0,82.0,82.0,1B-D,5,10,2026-02-16
KPHL.N0000,11,70.6,82.0,45.0,50.0,62.0,91.1,82.0,82.0,mixed,high,strong_distribution,0.586,full_uptrend,5.53,29.63,114.29,82.0,95.0,95.0,1B-D,5,10,2026-02-16
AEL.N0000,12,70.2,95.0,50.0,50.0,82.0,64.0,95.0,95.0,mixed,moderate,mild_accumulation,1.384,mostly_positive,1.54,-1.36,5.99,82.0,37.0,82.0,1B-D,5,10,2026-02-16
AAIC.N0000,13,70.0,78.5,50.0,50.0,62.0,91.1,95.0,62.0,retail,moderate,mild_distribution,0.889,full_uptrend,8.19,27.27,24.07,95.0,95.0,82.0,1B-D,5,10,2026-02-16
SINH.N0000,14,70.0,88.5,45.0,50.0,37.0,91.1,82.0,95.0,mixed,high,strong_distribution,0.434,full_uptrend,5.26,80.33,115.69,82.0,95.0,95.0,1B-D,5,10,2026-02-16
PLR.N0000,15,69.7,95.0,50.0,50.0,37.0,79.9,95.0,95.0,mixed,moderate,strong_distribution,0.309,full_uptrend,0.65,19.13,45.94,62.0,82.0,95.0,1B-D,5,10,2026-02-16
MDL.N0000,16,69.6,72.0,45.0,50.0,95.0,85.9,62.0,82.0,mixed,high,strong_accumulation,2.702,full_uptrend,12.71,22.58,18.22,95.0,82.0,82.0,1B-D,5,10,2026-02-16
NDB.N0000,17,69.1,82.0,55.0,50.0,95.0,68.0,82.0,82.0,mixed,low,strong_accumulation,1.73,full_uptrend,3.42,0.67,1.17,82.0,62.0,62.0,1B-D,5,10,2026-02-16
HNB.N0000,18,68.8,88.5,50.0,50.0,62.0,74.0,95.0,82.0,retail,moderate,mild_distribution,0.881,full_uptrend,2.56,4.64,7.38,82.0,62.0,82.0,1B-D,5,10,2026-02-16
COMB.N0000,19,68.2,88.5,60.0,50.0,62.0,68.0,95.0,82.0,mixed,very_low,neutral,1.022,full_uptrend,1.1,2.68,9.64,62.0,62.0,82.0,1B-D,5,10,2026-02-16
CALF.N0000,20,67.6,59.5,40.0,50.0,95.0,95.0,82.0,37.0,retail,very_high,strong_accumulation,1.752,full_uptrend,9.83,59.25,72.16,95.0,95.0,95.0,1B-D,5,10,2026-02-16
WAPO.N0000,21,67.3,82.0,50.0,50.0,62.0,76.0,82.0,82.0,mixed,moderate,mild_distribution,0.679,full_uptrend,0.63,16.5,9.84,62.0,82.0,82.0,1B-D,5,10,2026-02-16
HNB.X0000,22,67.3,72.0,50.0,50.0,82.0,79.9,82.0,62.0,retail,moderate,mild_accumulation,1.459,mostly_positive,5.94,9.72,0.0,95.0,82.0,62.0,1B-D,5,10,2026-02-16
LPRT.N0000,23,67.1,66.0,40.0,50.0,95.0,85.1,95.0,37.0,retail,very_high,strong_accumulation,3.35,mostly_positive,42.85,91.68,0.0,95.0,95.0,62.0,1B-D,5,10,2026-02-16
TJL.N0000,24,66.9,95.0,45.0,50.0,95.0,47.5,95.0,95.0,institutional,high,strong_accumulation,1.914,mostly_negative,-2.85,7.45,-3.1,12.0,82.0,37.0,1B-D,5,10,2026-02-16
SAMP.N0000,25,66.8,88.5,60.0,50.0,62.0,62.0,95.0,82.0,retail,very_low,neutral,0.931,mostly_positive,0.0,0.32,4.71,62.0,62.0,62.0,1B-D,5,10,2026-02-16
DOCK.N0000,26,66.2,95.0,50.0,50.0,37.0,66.2,95.0,95.0,mixed,moderate,strong_distribution,0.463,mostly_positive,5.08,36.26,-62.26,82.0,95.0,12.0,1B-D,5,10,2026-02-16
EML.N0000,27,66.2,95.0,40.0,50.0,37.0,70.1,95.0,95.0,mixed,very_high,strong_distribution,0.466,mostly_positive,-3.17,48.78,148.98,12.0,95.0,95.0,1B-D,5,10,2026-02-16
TKYO.N0000,28,66.1,95.0,55.0,50.0,95.0,40.5,95.0,95.0,institutional,low,strong_accumulation,3.596,mostly_negative,-0.71,-8.53,16.11,37.0,12.0,82.0,1B-D,5,10,2026-02-16
RAL.N0000,29,65.9,95.0,50.0,50.0,37.0,64.9,95.0,95.0,mixed,moderate,strong_distribution,0.532,mostly_positive,-5.06,10.29,66.67,12.0,82.0,95.0,1B-D,5,10,2026-02-16
CLND.N0000,30,65.8,72.0,50.0,50.0,62.0,82.0,62.0,82.0,mixed,moderate,mild_distribution,0.644,full_uptrend,2.96,19.53,11.18,82.0,82.0,82.0,1B-D,5,10,2026-02-16
HAYL.N0000,31,65.8,82.0,60.0,50.0,37.0,76.0,82.0,82.0,mixed,very_low,strong_distribution,0.414,mostly_positive,-0.1,9.52,22.12,62.0,82.0,82.0,1B-D,5,10,2026-02-16
OFEQ.N0000,32,65.1,59.5,40.0,50.0,95.0,85.1,82.0,37.0,retail,very_high,strong_accumulation,2.395,mostly_positive,62.29,155.92,0.0,95.0,95.0,62.0,1B-D,5,10,2026-02-16
SIL.N0000,33,65.1,59.5,40.0,50.0,95.0,85.1,82.0,37.0,retail,very_high,strong_accumulation,3.086,mostly_positive,46.8,48.73,0.0,95.0,95.0,62.0,1B-D,5,10,2026-02-16
TKYO.X0000,34,65.0,88.5,60.0,50.0,95.0,42.0,82.0,95.0,institutional,very_low,strong_accumulation,3.441,mixed,0.23,-8.83,0.0,62.0,12.0,62.0,1B-D,5,10,2026-02-16
HBS.N0000,35,64.9,78.5,55.0,50.0,82.0,60.5,62.0,95.0,institutional,low,neutral,1.099,mostly_positive,-0.99,2.04,12.99,37.0,62.0,82.0,1B-D,5,10,2026-02-16
AAF.N0000,36,64.3,62.0,60.0,50.0,82.0,76.0,62.0,62.0,mixed,very_low,mild_accumulation,1.292,full_uptrend,3.02,6.81,3.57,82.0,82.0,62.0,1B-D,5,10,2026-02-16
ACME.N0000,37,64.2,95.0,40.0,50.0,62.0,51.9,95.0,95.0,mixed,very_high,mild_distribution,0.846,mixed,0.0,-14.73,69.23,62.0,12.0,95.0,1B-D,5,10,2026-02-16
TESS.N0000,38,64.2,78.5,45.0,50.0,37.0,79.9,62.0,95.0,institutional,high,strong_distribution,0.531,mostly_positive,0.0,23.53,40.0,62.0,82.0,95.0,1B-D,5,10,2026-02-16
CTEA.N0000,39,63.9,47.0,40.0,50.0,95.0,95.0,82.0,12.0,retail,very_high,strong_accumulation,3.854,full_uptrend,55.92,56.48,67.61,95.0,95.0,95.0,1B-D,5,10,2026-02-16
