Symbol,Stock Price
COSE:CWL.N0000,22.9
COSE:CTLD.N0000,40
COSE:CTHR.N0000,643.25
COSE:CTEA.N0000,1927.5
COSE:CTBL.N0000,12
COSE:CSLK.N0000,14.1
COSE:CSF.N0000,0.1
COSE:CSD.N0000,30.7
COSE:CRL.N0000,6.2
COSE:CPRT.N0000,3776.25
COSE:COOP.N0000,4.4
COSE:CONN.N0000,36.9
COSE:COMD.N0000,318.75
COSE:COMB.X0000,206.25
COSE:COMB.N0000,230.25
COSE:COLO.N0000,58.8
COSE:COCR.N0000,126
COSE:COCO.X0000,57.9
COSE:COCO.N0000,70
COSE:CLND.N0000,55.7
COSE:CITW.N0000,2
COSE:CITH.N0000,4.5
COSE:CIT.N0000,541.25
COSE:CINV.N0000,127
COSE:CINS.X0000,1755.75
COSE:CINS.N0000,3300
COSE:CIND.N0000,260
COSE:CIC.X0000,28
COSE:CIC.N0000,34.5
COSE:CHOT.N0000,41.8
COSE:CHMX.N0000,181
COSE:CHL.X0000,252
COSE:CHL.N0000,340.75
COSE:CFVF.N0000,61.5
COSE:CFLB.N0000,79.3
COSE:CFIN.N0000,268.25
COSE:CFI.N0000,471.25
COSE:CERA.N0000,164.25
COSE:CDB.X0000,295.5
COSE:CDB.N0000,370.75
COSE:CCS.N0000,112.5
COSE:CBNK.N0000,9.6
COSE:CARS.N0000,672.5
COSE:CARG.N0000,745.25
COSE:CARE.N0000,55.7
COSE:CALT.N0000,53
COSE:CALH.N0000,17
COSE:CALF.N0000,159.25
COSE:CABO.N0000,239
COSE:BUKI.N0000,940.25
COSE:BRWN.N0000,185.75
COSE:BRR.N0000,22.7
COSE:BREW.N0000,2750.5
COSE:BPPL.N0000,18.9
COSE:BOPL.N0000,74.9
COSE:BOGA.N0000,147.25
COSE:BLUE.N0000,0.3
COSE:BIL.N0000,6.7
COSE:BFN.N0000,37.7
COSE:BFL.N0000,85.4
COSE:BERU.N0000,3.7
COSE:BBH.N0000,23.2
COSE:BALA.N0000,68.3
COSE:AUTO.N0000,436
COSE:ATLL.N0000,35.5
COSE:ASPH.N0000,0.5
COSE:ASIY.N0000,12.8
COSE:ASIR.N0000,33.2
COSE:ASHO.N0000,4000
COSE:ASCO.N0000,53.4
COSE:APLA.N0000,170.25
COSE:AMSL.N0000,15.4
COSE:AMF.N0000,66
COSE:ALUM.N0000,18.8
COSE:ALLI.N0000,364.75
COSE:AINS.N0000,37
COSE:AHUN.N0000,115
COSE:AHPL.N0000,58.1
COSE:AGST.X0000,12.2
COSE:AGST.N0000,10.6
COSE:AGPL.N0000,18
COSE:AGAL.N0000,58.1
COSE:AFSL.N0000,99
COSE:AFS.N0000,43.8
COSE:AEL.N0000,72.5
COSE:ACME.N0000,11
COSE:ACAP.N0000,7
COSE:ABL.N0000,29.5
COSE:ABAN.N0000,1210.25
COSE:AAIC.N0000,93.8
COSE:AAF.P0000,68.3
COSE:AAF.N0000,58
COSE:LGIL.N0000,8.7
COSE:LOFC.N0000,5.8
COSE:CTC.N0000,1744.75
COSE:LOLC.N0000,580
COSE:JKH.N0000,22.1
