symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
ABAN.N0000,1210.25,1278.0,1278.0,1200.0,1283.5,-73.25,-5.71,1301,51,2026-02-13,2026-02-13 16:00:17
AFSL.N0000,99.0,107.75,107.75,98.9,102.0,-3.0,-2.94,19096,65,2026-02-13,2026-02-13 16:00:17
AEL.N0000,72.5,70.5,73.0,70.0,70.1,2.4,3.42,927008,380,2026-02-13,2026-02-13 16:00:17
ACL.N0000,99.0,99.5,99.5,98.5,99.5,-0.5,-0.5,504997,361,2026-02-13,2026-02-13 16:00:17
APLA.N0000,170.25,170.5,176.75,170.0,174.5,-4.25,-2.44,9141,56,2026-02-13,2026-02-13 16:00:17
ACME.N0000,11.0,10.0,11.8,9.6,9.9,1.1,11.11,2670003,1161,2026-02-13,2026-02-13 16:00:17
AGAL.N0000,58.1,57.3,58.9,57.3,57.7,0.4,0.69,11762,14,2026-02-13,2026-02-13 16:00:17
AGPL.N0000,18.0,18.4,18.4,17.9,18.3,-0.3,-1.64,33816,53,2026-02-13,2026-02-13 16:00:17
AGST.N0000,10.6,10.8,10.8,10.4,10.7,-0.1,-0.93,516685,93,2026-02-13,2026-02-13 16:00:17
AGST.X0000,12.2,11.1,12.2,11.1,11.8,0.4,3.39,101,2,2026-02-13,2026-02-13 16:00:17
AHUN.N0000,115.0,117.5,118.5,114.75,113.5,1.5,1.32,203059,124,2026-02-13,2026-02-13 16:00:17
SPEN.N0000,162.0,162.0,163.0,160.0,158.75,3.25,2.05,122651,115,2026-02-13,2026-02-13 16:00:17
ALLI.N0000,364.75,364.0,365.0,363.25,364.25,0.5,0.14,4295,38,2026-02-13,2026-02-13 16:00:17
AFS.N0000,43.8,44.2,45.5,42.1,42.6,1.2,2.82,222140,74,2026-02-13,2026-02-13 16:00:17
ALUM.N0000,18.8,19.5,19.7,18.8,19.5,-0.7,-3.59,214787,193,2026-02-13,2026-02-13 16:00:17
ABL.N0000,29.5,29.8,29.8,29.0,29.7,-0.2,-0.67,66143,80,2026-02-13,2026-02-13 16:00:17
ATLL.N0000,35.5,35.0,36.0,35.0,35.4,0.1,0.28,154,4,2026-02-13,2026-02-13 16:00:17
ATL.N0000,24.2,24.8,24.8,23.8,24.3,-0.1,-0.41,153754,65,2026-02-13,2026-02-13 16:00:17
TAP.N0000,39.6,40.0,40.0,39.5,38.94,0.66,1.69,128305,108,2026-02-13,2026-02-13 16:00:17
GREG.N0000,155.0,153.25,155.0,153.0,155.0,0.0,0.0,3975,12,2026-02-13,2026-02-13 16:00:17
AINS.N0000,37.0,37.5,37.5,34.9,35.7,1.3,3.64,7238,20,2026-02-13,2026-02-13 16:00:17
AAF.N0000,58.0,58.2,58.2,57.5,58.0,0.0,0.0,96042,63,2026-02-13,2026-02-13 16:00:17
ASIY.N0000,12.8,13.2,13.2,12.7,13.2,-0.4,-3.03,590483,108,2026-02-13,2026-02-13 16:00:17
AHPL.N0000,58.1,60.0,60.0,58.0,59.4,-1.3,-2.19,255384,20,2026-02-13,2026-02-13 16:00:17
ASIR.N0000,33.2,33.6,33.8,33.2,33.7,-0.5,-1.48,123300,38,2026-02-13,2026-02-13 16:00:17
AMSL.N0000,15.4,16.0,16.1,15.1,15.6,-0.2,-1.28,64517,63,2026-02-13,2026-02-13 16:00:17
AMF.N0000,66.0,65.0,67.0,64.9,65.9,0.1,0.15,65036,55,2026-02-13,2026-02-13 16:00:17
BPPL.N0000,18.9,19.0,19.0,18.7,19.0,-0.1,-0.53,13491,16,2026-02-13,2026-02-13 16:00:17
BFL.N0000,85.4,83.7,86.5,83.3,83.7,1.7,2.03,42732,99,2026-02-13,2026-02-13 16:00:17
BALA.N0000,68.3,68.6,68.6,68.1,68.4,-0.1,-0.15,1377,8,2026-02-13,2026-02-13 16:00:17
BRR.N0000,22.7,22.8,22.8,22.7,22.7,0.0,0.0,26,2,2026-02-13,2026-02-13 16:00:17
BERU.N0000,3.7,3.8,3.9,3.7,3.7,0.0,0.0,276714,41,2026-02-13,2026-02-13 16:00:17
