symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
AFSL.N0000,102.0,107.75,107.75,102.0,102.0,0.0,0.0,901,2,2026-02-13,2026-02-13 10:00:22
AEL.N0000,70.4,70.5,70.5,70.0,70.1,0.3,0.43,109343,55,2026-02-13,2026-02-13 10:00:22
ACL.N0000,99.3,99.5,99.5,99.0,99.5,-0.2,-0.2,12243,39,2026-02-13,2026-02-13 10:00:22
APLA.N0000,176.75,170.5,176.75,170.5,174.5,2.25,1.29,225,6,2026-02-13,2026-02-13 10:00:22
ACME.N0000,9.8,10.0,10.0,9.6,9.9,-0.1,-1.01,134403,92,2026-02-13,2026-02-13 10:00:22
AGST.N0000,10.7,10.8,10.8,10.7,10.7,0.0,0.0,42651,7,2026-02-13,2026-02-13 10:00:22
AHUN.N0000,117.0,117.5,118.5,117.0,113.5,3.5,3.08,36703,23,2026-02-13,2026-02-13 10:00:22
SPEN.N0000,162.25,162.0,162.25,161.5,158.75,3.5,2.2,94037,43,2026-02-13,2026-02-13 10:00:22
ALLI.N0000,364.0,364.0,364.0,364.0,364.25,-0.25,-0.07,37,3,2026-02-13,2026-02-13 10:00:22
AFS.N0000,45.5,44.2,45.5,42.1,42.6,2.9,6.81,75067,16,2026-02-13,2026-02-13 10:00:22
ALUM.N0000,19.3,19.5,19.7,19.2,19.5,-0.2,-1.03,10794,13,2026-02-13,2026-02-13 10:00:22
ABL.N0000,29.8,29.8,29.8,29.8,29.7,0.1,0.34,10,1,2026-02-13,2026-02-13 10:00:22
ATL.N0000,24.7,24.8,24.8,24.2,24.3,0.4,1.65,1005,4,2026-02-13,2026-02-13 10:00:22
TAP.N0000,39.6,40.0,40.0,39.6,38.94,0.66,1.69,5612,10,2026-02-13,2026-02-13 10:00:22
AINS.N0000,34.9,37.5,37.5,34.9,35.7,-0.8,-2.24,7135,17,2026-02-13,2026-02-13 10:00:22
AAF.N0000,58.0,58.2,58.2,58.0,58.0,0.0,0.0,19015,11,2026-02-13,2026-02-13 10:00:22
ASIY.N0000,12.9,13.2,13.2,12.8,13.2,-0.3,-2.27,23183,10,2026-02-13,2026-02-13 10:00:22
AHPL.N0000,60.0,60.0,60.0,60.0,59.4,0.6,1.01,3,2,2026-02-13,2026-02-13 10:00:22
ASIR.N0000,33.8,33.6,33.8,33.6,33.7,0.1,0.3,1190,5,2026-02-13,2026-02-13 10:00:22
AMSL.N0000,15.1,16.0,16.1,15.1,15.6,-0.5,-3.21,24556,16,2026-02-13,2026-02-13 10:00:22
AMF.N0000,65.0,65.0,67.0,65.0,65.9,-0.9,-1.37,11086,8,2026-02-13,2026-02-13 10:00:22
BPPL.N0000,18.7,19.0,19.0,18.7,19.0,-0.3,-1.58,2246,4,2026-02-13,2026-02-13 10:00:22
BFL.N0000,86.0,83.7,86.0,83.3,83.7,2.3,2.75,6684,18,2026-02-13,2026-02-13 10:00:22
BALA.N0000,68.6,68.6,68.6,68.6,68.4,0.2,0.29,1,1,2026-02-13,2026-02-13 10:00:22
BERU.N0000,3.8,3.8,3.8,3.8,3.7,0.1,2.7,65064,6,2026-02-13,2026-02-13 10:00:22
BOGA.N0000,150.0,146.5,150.0,146.5,149.75,0.25,0.17,50,2,2026-02-13,2026-02-13 10:00:22
BOPL.N0000,74.9,74.9,74.9,74.9,74.2,0.7,0.94,103,2,2026-02-13,2026-02-13 10:00:22
BRWN.N0000,186.0,190.0,192.5,186.0,186.5,-0.5,-0.27,4477,20,2026-02-13,2026-02-13 10:00:22
BIL.N0000,6.8,6.9,6.9,6.7,6.8,0.0,0.0,151507,35,2026-02-13,2026-02-13 10:00:22
BUKI.N0000,940.25,940.25,940.25,940.25,940.25,0.0,0.0,517,2,2026-02-13,2026-02-13 10:00:22
CIC.X0000,28.2,28.1,28.5,28.1,28.4,-0.2,-0.7,7158,4,2026-02-13,2026-02-13 10:00:22
CIC.N0000,34.5,34.8,34.8,34.5,34.8,-0.3,-0.86,34081,41,2026-02-13,2026-02-13 10:00:22
COLO.N0000,57.1,57.1,57.1,57.1,57.4,-0.3,-0.52,153,2,2026-02-13,2026-02-13 10:00:22
CTLD.N0000,39.5,39.6,39.6,39.5,39.7,-0.2,-0.5,2494,8,2026-02-13,2026-02-13 10:00:22
CWM.N0000,40.8,41.5,41.5,40.8,41.3,-0.5,-1.21,22162,24,2026-02-13,2026-02-13 10:00:22
CSLK.N0000,14.1,14.3,14.3,14.1,14.4,-0.3,-2.08,90500,13,2026-02-13,2026-02-13 10:00:22
CALH.N0000,17.1,17.5,17.5,17.0,17.2,-0.1,-0.58,94569,76,2026-02-13,2026-02-13 10:00:22
CALT.N0000,52.9,53.0,53.0,52.4,52.7,0.2,0.38,51576,41,2026-02-13,2026-02-13 10:00:22
CARG.N0000,752.0,752.0,752.0,752.0,745.75,6.25,0.84,6,2,2026-02-13,2026-02-13 10:00:22
CBNK.N0000,9.8,9.7,9.8,9.6,9.7,0.1,1.03,47640,22,2026-02-13,2026-02-13 10:00:22
CABO.N0000,243.0,234.75,243.0,233.0,233.0,10.0,4.29,1265,15,2026-02-13,2026-02-13 10:00:22
CARS.N0000,680.0,690.0,690.0,680.0,670.25,9.75,1.45,126,3,2026-02-13,2026-02-13 10:00:22
CFIN.N0000,272.5,273.0,273.0,268.0,272.75,-0.25,-0.09,16706,54,2026-02-13,2026-02-13 10:00:22
CIND.N0000,260.0,260.5,260.5,258.0,260.0,0.0,0.0,2043,6,2026-02-13,2026-02-13 10:00:22
CINS.X0000,1795.0,1795.0,1795.0,1795.0,1794.75,0.25,0.01,24,2,2026-02-13,2026-02-13 10:00:22
CCS.N0000,113.25,113.25,113.25,113.25,112.75,0.5,0.44,60,2,2026-02-13,2026-02-13 10:00:22
GRAN.N0000,460.0,460.0,460.0,456.0,458.5,1.5,0.33,2065,8,2026-02-13,2026-02-13 10:00:22
GUAR.N0000,277.0,274.75,277.0,274.75,266.75,10.25,3.84,1549,5,2026-02-13,2026-02-13 10:00:22
CHL.N0000,340.75,324.0,341.0,310.25,336.25,4.5,1.34,949,20,2026-02-13,2026-02-13 10:00:22
CHL.X0000,260.0,260.0,260.0,260.0,253.25,6.75,2.67,2,1,2026-02-13,2026-02-13 10:00:22
CHOT.N0000,42.3,41.7,42.4,41.7,41.0,1.3,3.17,1309,5,2026-02-13,2026-02-13 10:00:22
