symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
TPL.N0000,148.0,147.0,148.0,147.0,146.0,2.0,1.37,49,4,2026-02-11,2026-02-11 10:00:23
TJL.N0000,38.6,38.6,38.6,38.5,38.6,0.0,0.0,86351,35,2026-02-11,2026-02-11 10:00:23
TESS.N0000,2.4,2.2,2.4,2.2,2.1,0.3,14.29,3043649,107,2026-02-11,2026-02-11 10:00:23
TESS.X0000,1.5,1.6,1.6,1.5,1.5,0.0,0.0,201240,14,2026-02-11,2026-02-11 10:00:23
CFLB.N0000,79.3,83.0,83.0,79.3,80.2,-0.9,-1.12,407,2,2026-02-11,2026-02-11 10:00:23
SERV.N0000,19.0,19.6,19.6,18.9,19.0,0.0,0.0,5139,11,2026-02-11,2026-02-11 10:00:23
LHCL.N0000,109.0,112.75,114.5,109.0,109.75,-0.75,-0.68,1684,14,2026-02-11,2026-02-11 10:00:23
NEH.N0000,4750.0,4750.0,4750.0,4750.0,4500.0,250.0,5.56,6,2,2026-02-11,2026-02-11 10:00:23
TAFL.N0000,673.0,683.0,683.0,673.0,686.0,-13.0,-1.9,545,23,2026-02-11,2026-02-11 10:00:23
TKYO.X0000,86.7,87.0,87.0,86.7,86.5,0.2,0.23,587,8,2026-02-11,2026-02-11 10:00:23
TKYO.N0000,105.0,105.25,105.5,105.0,105.25,-0.25,-0.24,14761,17,2026-02-11,2026-02-11 10:00:23
UBF.N0000,3.3,3.2,3.4,3.1,3.1,0.2,6.45,26440865,464,2026-02-11,2026-02-11 10:00:23
UDPL.N0000,159.0,159.0,159.0,159.0,159.75,-0.75,-0.47,1,1,2026-02-11,2026-02-11 10:00:23
UAL.N0000,79.4,79.4,79.4,79.4,79.6,-0.2,-0.25,398,3,2026-02-11,2026-02-11 10:00:23
UBC.N0000,14.7,14.4,14.9,14.4,14.5,0.2,1.38,4375,8,2026-02-11,2026-02-11 10:00:23
UML.N0000,38.7,38.9,38.9,38.8,39.0,-0.3,-0.77,13798,13,2026-02-11,2026-02-11 10:00:23
VFIN.N0000,104.75,104.0,104.75,104.0,104.75,0.0,0.0,453,3,2026-02-11,2026-02-11 10:00:23
VONE.N0000,108.0,109.0,109.0,108.0,109.0,-1.0,-0.92,21185,16,2026-02-11,2026-02-11 10:00:23
VPEL.N0000,15.1,15.0,15.1,15.0,15.0,0.1,0.67,24833,15,2026-02-11,2026-02-11 10:00:23
VLL.X0000,18.3,18.3,18.3,18.3,18.3,0.0,0.0,150,1,2026-02-11,2026-02-11 10:00:23
VLL.N0000,22.2,23.0,23.0,22.2,22.9,-0.7,-3.06,3610,14,2026-02-11,2026-02-11 10:00:23
CITW.N0000,2.1,2.0,2.1,2.0,2.0,0.1,5.0,92300,11,2026-02-11,2026-02-11 10:00:23
WATA.N0000,48.3,48.3,48.3,48.2,48.0,0.3,0.63,55402,18,2026-02-11,2026-02-11 10:00:23
WLTH.N0000,16.6,16.5,16.6,16.5,16.6,0.0,0.0,40047,19,2026-02-11,2026-02-11 10:00:23
WIND.N0000,48.3,48.5,48.5,48.3,48.3,0.0,0.0,3394,6,2026-02-11,2026-02-11 10:00:23
YORK.N0000,18.0,18.0,18.5,17.1,18.0,0.0,0.0,191262,81,2026-02-11,2026-02-11 10:00:23
